Species_Name	EMBL	Phylum	p.value	GENOME_GC	GENOME_Size	GC_Core_1.21_CDS%	GC_Rfam_Core%	Avoidance_Group	Intrinsic
Helicobacter pylori 26695	AE000511.1	Proteobacteria	5.26E-07	0.39	1667867	33.5049335	52.16231663	Avoidance	1.16E-20
Thermotoga maritima MSB8	AE000512.1	Thermotogae	8.49E-08	0.46	1860725	43.5006435	64.63454075	Avoidance	4.25E-24
Deinococcus radiodurans R1	AE000513.1	Deinococcus-Thermus	0.002754268596	0.67	2648638	55.04075504	58.55417645	Avoidance	0.009949518
Mycobacterium tuberculosis CDC1551	AE000516.2	Actinobacteria	0.9994866341	0.66	4403837	59.6969697	61.2716763	Non-Avoidance	0.05349879
Treponema pallidum subsp. pallidum str. Nichols	AE000520.1	Spirochaetes	0.9992415498	0.53	1138011	48.33110814	56.23058336	Non-Avoidance	1.11E-07
Aquifex aeolicus VF5	AE000657.1	Aquificae	3.17E-06	0.43	1551335	42.85714286	67.31090875	Avoidance	3.12E-22
Borrelia burgdorferi B31	AE000783.1	Spirochaetes	0.02331734478	0.29	910724	27.59103641	48.94206051	Avoidance	4.26E-19
Chlamydia trachomatis D/UW-3/CX	AE001273.1	Chlamydiae	0.0001488748678	0.41	1042519	37.84013605	52.04624702	Avoidance	4.83E-17
Chlamydophila pneumoniae CWL029	AE001363.1	Chlamydiae	1.01E-08	0.41	1230230	34.65136054	50.79801871	Avoidance	5.48E-18
Clostridium acetobutylicum ATCC 824	AE001437.1	Firmicutes	1.17E-08	0.31	3940880	29.17748918	52.62991128	Avoidance	4.00E-24
Helicobacter pylori J99	AE001439.1	Proteobacteria	0.0005310334845	0.39	1643831	33.33333333	52.11936894	Avoidance	3.45E-21
Neisseria meningitidis MC58	AE002098.2	Proteobacteria	0.6204243639	0.52	2272360	40.22556391	56.73108964	Non-Avoidance	2.03E-19
Chlamydia muridarum Nigg	AE002160.2	Chlamydiae	9.12E-16	0.4	1072950	37.75203775	51.7716174	Avoidance	1.60E-16
Chlamydophila pneumoniae AR39	AE002161.1	Chlamydiae	1.65E-08	0.41	1229853	35.28911565	50.77967345	Avoidance	3.54E-17
Xylella fastidiosa 9a5c	AE003849.1	Proteobacteria	7.52E-06	0.53	2679306	44.75347661	57.75706554	Avoidance	1.62E-17
Vibrio cholerae O1 biovar El Tor str. N16961	AE003852.1	Proteobacteria	1.49E-19	0.48	2961149	39.74025974	56.29016136	Avoidance	4.26E-24
Pseudomonas aeruginosa PAO1	AE004091.2	Proteobacteria	0.9999998709	0.67	6264404	50.50125313	58.04970714	Non-Avoidance	6.71E-10
Streptococcus pyogenes M1 GAS	AE004092.1	Firmicutes	1.04E-44	0.39	1852441	31.26102293	52.36499803	Avoidance	3.44E-18
Pasteurella multocida subsp. multocida str. Pm70	AE004439.1	Proteobacteria	8.16E-22	0.4	2257487	35.27180784	54.45848375	Avoidance	6.13E-20
Neisseria gonorrhoeae FA 1090	AE004969.1	Proteobacteria	0.04658507412	0.53	2153922	40.47619048	57.04	Avoidance	4.59E-19
Escherichia coli O157:H7 str. EDL933	AE005174.2	Proteobacteria	5.17E-16	0.5	5528445	41.59698997	57.45435439	Avoidance	8.37E-24
Lactococcus lactis subsp. lactis Il1403	AE005176.1	Firmicutes	5.39E-20	0.35	2365589	31.05963106	52.38747219	Avoidance	2.48E-21
