Species_Name	Taxon_ID	EMBL	Phylum	wxBothSide.p.value	wxGreater.p.value(AVOIDANCEif<0.05)	wxLess.p.value	GENOME_GC	GENOME_Size	GC_Core_1.21_CDS%	GC_Rfam_Core%	Avoidance_Group	Intrinsic
Helicobacter pylori 26695	85962	AE000511.1	Proteobacteria	1.05142595535757e-06	5.25712977678785e-07	0.999999474287167	0.39	1667867	33.5049335049	52.1623166317	Avoidance	1.157168e-20
Thermotoga maritima MSB8	243274	AE000512.1	Thermotogae	1.69877147726651e-07	8.49385738633255e-08	0.999999915061445	0.46	1860725	43.5006435006	64.6345407503	Avoidance	4.249245e-24
Deinococcus radiodurans R1	243230	AE000513.1	Deinococcus-Thermus	0.00550853719250888	0.00275426859625444	0.997245731757704	0.67	2648638	55.0407550408	58.5541764509	Avoidance	0.009949518
Mycobacterium tuberculosis CDC1551	83331	AE000516.2	Actinobacteria	0.00102673200475742	0.999486634077133	0.00051336600237871	0.66	4403837	59.696969697	61.2716763006	Non-Avoidance	0.05349879
Treponema pallidum subsp. pallidum str. Nichols	243276	AE000520.1	Spirochaetes	0.00151690063731935	0.999241549800179	0.000758450318659676	0.53	1138011	48.3311081442	56.2305833621	Non-Avoidance	1.114486e-07
Aquifex aeolicus VF5	224324	AE000657.1	Aquificae	6.33150522355621e-06	3.16575261177811e-06	0.999996834248086	0.43	1551335	42.8571428571	67.310908753	Avoidance	3.115428e-22
Borrelia burgdorferi B31	224326	AE000783.1	Spirochaetes	0.046634689550399	0.0233173447751995	0.976682659020651	0.29	910724	27.5910364146	48.9420605102	Avoidance	4.263412e-19
Chlamydia trachomatis D/UW-3/CX	272561	AE001273.1	Chlamydiae	0.000297749735533989	0.000148874867766995	0.999851125163024	0.41	1042519	37.8401360544	52.0462470178	Avoidance	4.828158e-17
Chlamydophila pneumoniae CWL029	115713	AE001363.1	Chlamydiae	2.02694157209946e-08	1.01347078604973e-08	0.999999989865295	0.41	1230230	34.6513605442	50.7980187122	Avoidance	5.482583e-18
Clostridium acetobutylicum ATCC 824	272562	AE001437.1	Firmicutes	2.33560588645835e-08	1.16780294322918e-08	0.999999988321973	0.31	3940880	29.1774891775	52.6299112801	Avoidance	4.000831e-24
Helicobacter pylori J99	85963	AE001439.1	Proteobacteria	0.00106206696890467	0.000531033484452333	0.999468966617537	0.39	1643831	33.3333333333	52.1193689413	Avoidance	3.450886e-21
Neisseria meningitidis MC58	122586	AE002098.2	Proteobacteria	0.759151303747128	0.620424363878031	0.379575651873564	0.52	2272360	40.2255639098	56.7310896368	Non-Avoidance	2.032737e-19
Chlamydia muridarum Nigg	243161	AE002160.2	Chlamydiae	1.82434402728413e-15	9.12172013642064e-16	0.999999999999999	0.40	1072950	37.752037752	51.7716174041	Avoidance	1.602327e-16
Chlamydophila pneumoniae AR39	115711	AE002161.1	Chlamydiae	3.29771302442865e-08	1.64885651221432e-08	0.99999998351144	0.41	1229853	35.2891156463	50.7796734544	Avoidance	3.544701e-17
Xylella fastidiosa 9a5c	160492	AE003849.1	Proteobacteria	1.5038991616008e-05	7.51949580800399e-06	0.999992480505396	0.53	2679306	44.7534766119	57.7570655442	Avoidance	1.624849e-17
Vibrio cholerae O1 biovar El Tor str. N16961	243277	AE003852.1	Proteobacteria	2.9794131800976e-19	1.4897065900488e-19	1	0.48	2961149	39.7402597403	56.2901613594	Avoidance	4.262971e-24
Pseudomonas aeruginosa PAO1	208964	AE004091.2	Proteobacteria	2.58282980366406e-07	0.999999870858536	1.29141490183203e-07	0.67	6264404	50.5012531328	58.0497071395	Non-Avoidance	6.713383e-10
Streptococcus pyogenes M1 GAS	160490	AE004092.1	Firmicutes	2.07666464600244e-44	1.03833232300122e-44	1	0.39	1852441	31.2610229277	52.3649980292	Avoidance	3.443291e-18
Pasteurella multocida subsp. multocida str. Pm70	272843	AE004439.1	Proteobacteria	1.63103146576574e-21	8.15515732882872e-22	1	0.40	2257487	35.2718078382	54.4584837545	Avoidance	6.129032e-20
Neisseria gonorrhoeae FA 1090	242231	AE004969.1	Proteobacteria	0.0931701482320106	0.0465850741160053	0.953414929573315	0.53	2153922	40.4761904762	57.04	Avoidance	4.58959e-19
