ID	Code	Color	Binding_En	Folding_En	CAI	GFP-Fluorescence	DeltaDeltaCT	GFP-Fluorescence.Mean	mRNA.abundance
GFP-hi.Avoid_1	1028	firebrick4	-187.76	-6.3	0.733142	44438	-0.119	43018.25	1.085981856
GFP-hi.Avoid_1	1028	firebrick4	-187.76	-6.3	0.733142	44090	-0.119	43018.25	1.085981856
GFP-hi.Avoid_1	1028	firebrick4	-187.76	-6.3	0.733142	42182	-0.119	43018.25	1.085981856
GFP-hi.Avoid_1	1028	firebrick4	-187.76	-6.3	0.733142	41363	-0.119	43018.25	1.085981856
GFP-hi.Avoid_2	1029	firebrick4	-193.44	-4.8	0.734784	39420	0.129	40407.75	0.9144650895
GFP-hi.Avoid_2	1029	firebrick4	-193.44	-4.8	0.734784	40135	0.129	40407.75	0.9144650895
GFP-hi.Avoid_2	1029	firebrick4	-193.44	-4.8	0.734784	40319	0.129	40407.75	0.9144650895
GFP-hi.Avoid_2	1029	firebrick4	-193.44	-4.8	0.734784	41757	0.129	40407.75	0.9144650895
GFP-hi.Codon_1	1034	darkorange4	-239.33	-4.3	0.816208	39144	-0.517	37923.25	1.43097652
GFP-hi.Codon_1	1034	darkorange4	-239.33	-4.3	0.816208	38171	-0.517	37923.25	1.43097652
GFP-hi.Codon_1	1034	darkorange4	-239.33	-4.3	0.816208	37923	-0.517	37923.25	1.43097652
GFP-hi.Codon_1	1034	darkorange4	-239.33	-4.3	0.816208	36455	-0.517	37923.25	1.43097652
GFP-hi.Codon_2	1035	darkorange4	-210.07	-4.6	0.803954	25716	0.607	29026.5	0.6565605627
GFP-hi.Codon_2	1035	darkorange4	-210.07	-4.6	0.803954	25170	0.607	29026.5	0.6565605627
GFP-hi.Codon_2	1035	darkorange4	-210.07	-4.6	0.803954	25496	0.607	29026.5	0.6565605627
GFP-hi.Codon_2	1035	darkorange4	-210.07	-4.6	0.803954	39724	0.607	29026.5	0.6565605627
GFP-hi.Fold_1	1030	dodgerblue4	-267.17	-14.5	0.738237	38169	0.172	37823.5	0.8876113373
GFP-hi.Fold_1	1030	dodgerblue4	-267.17	-14.5	0.738237	38053	0.172	37823.5	0.8876113373
GFP-hi.Fold_1	1030	dodgerblue4	-267.17	-14.5	0.738237	37347	0.172	37823.5	0.8876113373
GFP-hi.Fold_1	1030	dodgerblue4	-267.17	-14.5	0.738237	37725	0.172	37823.5	0.8876113373
GFP-hi.Fold_2	1031	dodgerblue4	-239.27	-14.4	0.714883	21476	1.513	21252	0.3503818623
GFP-hi.Fold_2	1031	dodgerblue4	-239.27	-14.4	0.714883	21587	1.513	21252	0.3503818623
GFP-hi.Fold_2	1031	dodgerblue4	-239.27	-14.4	0.714883	20956	1.513	21252	0.3503818623
GFP-hi.Fold_2	1031	dodgerblue4	-239.27	-14.4	0.714883	20989	1.513	21252	0.3503818623
GFP-low.Avoid_1	1026	firebrick1	-314.71	-5.9	0.693751	18852	1.892	19030.75	0.2694332863
GFP-low.Avoid_1	1026	firebrick1	-314.71	-5.9	0.693751	18885	1.892	19030.75	0.2694332863
GFP-low.Avoid_1	1026	firebrick1	-314.71	-5.9	0.693751	19735	1.892	19030.75	0.2694332863
GFP-low.Avoid_1	1026	firebrick1	-314.71	-5.9	0.693751	18651	1.892	19030.75	0.2694332863
GFP-low.Avoid_2	1027	firebrick1	-292.48	-4.9	0.753171	30270	0.496	30920.5	0.7090700178
GFP-low.Avoid_2	1027	firebrick1	-292.48	-4.9	0.753171	30915	0.496	30920.5	0.7090700178
GFP-low.Avoid_2	1027	firebrick1	-292.48	-4.9	0.753171	31513	0.496	30920.5	0.7090700178
GFP-low.Avoid_2	1027	firebrick1	-292.48	-4.9	0.753171	30984	0.496	30920.5	0.7090700178
GFP-low.Codon_1	1036	darkorange1	-223.19	-4.2	0.626131	39516	0.337	38589.25	0.7916858659
GFP-low.Codon_1	1036	darkorange1	-223.19	-4.2	0.626131	38063	0.337	38589.25	0.7916858659
GFP-low.Codon_1	1036	darkorange1	-223.19	-4.2	0.626131	38538	0.337	38589.25	0.7916858659
GFP-low.Codon_1	1036	darkorange1	-223.19	-4.2	0.626131	38240	0.337	38589.25	0.7916858659
GFP-low.Codon_2	1037	darkorange1	-254.55	-5.4	0.630806	30930	-0.037	31047.25	1.025978145
GFP-low.Codon_2	1037	darkorange1	-254.55	-5.4	0.630806	31118	-0.037	31047.25	1.025978145
GFP-low.Codon_2	1037	darkorange1	-254.55	-5.4	0.630806	30680	-0.037	31047.25	1.025978145
GFP-low.Codon_2	1037	darkorange1	-254.55	-5.4	0.630806	31461	-0.037	31047.25	1.025978145
GFP-low.Fold_1	1032	dodgerblue1	-239.33	-0.2	0.711566	32429	0.063	31256.5	0.9572714582
GFP-low.Fold_1	1032	dodgerblue1	-239.33	-0.2	0.711566	30847	0.063	31256.5	0.9572714582
GFP-low.Fold_1	1032	dodgerblue1	-239.33	-0.2	0.711566	31105	0.063	31256.5	0.9572714582
GFP-low.Fold_1	1032	dodgerblue1	-239.33	-0.2	0.711566	30645	0.063	31256.5	0.9572714582
GFP-low.Fold_2	1033	dodgerblue1	-258.69	-0.3	0.745629	40962	-0.312	41539	1.241427492
GFP-low.Fold_2	1033	dodgerblue1	-258.69	-0.3	0.745629	42302	-0.312	41539	1.241427492
GFP-low.Fold_2	1033	dodgerblue1	-258.69	-0.3	0.745629	41074	-0.312	41539	1.241427492
GFP-low.Fold_2	1033	dodgerblue1	-258.69	-0.3	0.745629	41818	-0.312	41539	1.241427492
GFP-Optimal	1025	black	-178.66	-1.3	0.765974	44174	0	45321.25	1
GFP-Optimal	1025	black	-178.66	-1.3	0.765974	46020	0	45321.25	1
GFP-Optimal	1025	black	-178.66	-1.3	0.765974	45494	0	45321.25	1
GFP-Optimal	1025	black	-178.66	-1.3	0.765974	45597	0	45321.25	1
